,smiles,gaps
0,"[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])[H]
",10.222570107867
1,"[H]Oc1c([H])c([H])c([C@]2([H])C([H])([H])N(C(=O)c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
",3.818873738371
2,"[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H]
",3.639204813396
3,"[H]OC(=O)C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H]
",2.799078433558
4,"[H]c1c([H])c([H])c([H])c([H])c1[H]
",4.934367356899
5,"[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)c1c([H])c([H])c([H])c(C([H])([H])[H])c1[H]
",3.669645154655
6,"[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c([H])c(OC([H])([H])[H])c1[H]
",3.651435366975
7,"[H]c1c([H])c([H])c(N2C([H])([H])C([H])([H])C([H])([H])N/C([H])([H])C([H])([H])N/C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
",3.625173701508
8,"[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1OC([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])[H]
",3.835080186446
9,"[H]c1c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c1[H]
",4.042070940726
10,"[H]c1c([H])c([H])c(C([H])([H])[H])c([H])c1/C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])[H]
",3.832255606681
11,"[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])S(=O)(=O)c1c([H])c([H])c([H])c([H])c1[H]
",3.76797772974
12,"[H]c1c([H])c([H])c(OC([H])([H])[H])c([H])c1N([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])[H]
",3.863290702227
13,"[H]c1c([H])c([H])c(C([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
",4.490474678754
14,"[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
",5.015381230427
15,"[H]c1c([H])c([H])c(N2C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1C([H])([H])C([H])([H])C([H])([H])C2([H])[H]
",3.528215813247
16,"[H]c1c([H])c([H])c(OC([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])[H])c([H])c1[H]
",3.667987366455
