,smiles,gaps
0,"NO
",8.847811065798
1,"O=C(O)CP
",4.350234331974
2,"COCCO
",11.641852126805
3,"CCC(=O)CO
",3.789730365675
4,"CCNCCO
",10.570451681905
5,"CCCCCNC
",10.56862192805
6,"CO
",13.101062542387
7,"CCCCCO
",12.472962779941
8,"CCCCCCCCO
",12.164481934424
9,"C*C(=O)O
",
10,"O=CO
",5.151953539412
11,"CCNC
",10.93785810488
12,"CCCCCCCCNC
",10.569364667007
13,"O=[SH]CO
",4.725113285766
14,"[O]CC(=O)O
",3.42528499182
15,"CC(N)=O
",5.205190885567
16,"CCCCNCCCCCO
",10.11187727565
17,"CCC
",14.579041979263
18,"CCCNCCCNCC
",10.342567596254
19,"CCCNC
",10.89229701606
20,"CCNCCCNCCCCO
",9.993796587879
21,"CCCNCCCCCO
",9.941053614187
22,"CCCCC
",14.005504873077
23,"CC=O
",3.941568716733
24,"O=CC(=O)O
",2.452036737087
25,"CP
",5.695122580905
26,"CCCNCCCCC(=O)O
",3.192708170823
27,"CN
",11.55308922394
28,"CCCC(=O)O
",4.969734033997
29,"CC(=O)CCN
",3.236597894475
30,"C[PH3]CO
",
31,"CCCCCCCCC
",12.636931792471
32,"OCCS
",4.576719040803
33,"C=CCC(=O)O
",4.630583084074
34,"CCCCCCC(=O)O
",5.021383771557
35,"CC[SH2]CCO
",3.292928201242
36,"O=C(O)CCP
",4.39138515317
37,"CCNCCCNCCCC(=O)O
",3.011665684431
38,"CCNCCCO
",10.208217383564
39,"CC:CO
",5.077136320371
40,"CCCOCC
",11.493380130592
41,"CC(C)=O
",4.099262343826
42,"CCC=O
",3.837856874839
43,"CCNCCCCO
",10.518692178401
44,"CCNCCNCCCO
",9.82882086508
45,"C=CCCC(=O)O
",4.610666390534
46,"CCC[PH](=O)CO
",7.537625525049
47,"O=C(O)P
",4.172321019107
48,"NC=O
",5.146385980968
49,"CCCNCCNCC
",10.150253155714
50,"CC[SH2]CCC(=O)O
",3.177067323137
51,"CCCCO
",12.245159331111
52,"CCCCNC
",10.615755833438
53,"NCCCCCO
",10.602709752518
54,"CCCCCNCC
",10.681469881741
55,"OCO
",13.746109558797
56,"O=CCCCC(=O)O
",3.90944017456
57,"O=C(O)CS
",3.154762943706
58,"CCCCCCO
",12.147557949096
59,"CCNCCCNCCC(=O)O
",3.060466930922
60,"CCN[PH3]CCCNCCCO
",
61,"OCCCS
",4.541549781174
62,"CCNCCCNCCCCC(=O)O
",3.252913879945
63,"O=C(O)CPCP
",3.990964157742
64,"CCCCCOC
",11.847061975732
65,"CCNCCC(=O)O
",3.390348519489
66,"CCCCN
",11.449641931454
67,"CC(=O)CCC(=O)O
",4.081472974801
68,"CCCO
",12.233579525044
69,"CC[PH](=O)CO
",8.085129388101
70,"NCCCO
",11.134553488747
71,"CNC(=O)O
",5.913989848879
72,"CCCNCCCCCC(=O)O
",3.085667413133
73,"[H]*CCC(=O)O
",
74,"CNCCC(=O)O
",3.520953432434
75,"O=[SH]CCC(=O)O
",4.251145020655
76,"CCNCCCNCCCO
",9.962746541295
77,"CCCC
",14.265472174255
78,"COCC(=O)O
",4.697179937543
79,"BC(C)=O
",
80,"[H]C=CCCO
",5.45153106602
81,"BNC
",
82,"CS
",4.568715949788
83,"CCPC
",5.599997259186
84,"CCC(C)=O
",3.964908892998
85,"NCCCC(=O)O
",3.843212497647
86,"O=C(O)CCCOO
",4.588733297875
87,"[H][H]
",
88,"CCO
",12.886928903157
89,"CCON
",8.751428403695
90,"CC[SH2]CCCCCCO
",3.317220241472
91,"O=C(O)O
",6.319186703174
92,"CCNCCNC(F)CCO
",9.885819256664
93,"NCO
",11.912858365986
94,"CCNC(=O)O
",5.898191181438
95,"CCNCCCNCCCCCO
",9.887611448705
96,"N:CCCCO
",3.752488054612
97,"CCCCCCCCCO
",11.825272842585
98,"CC[SH2]CO
",3.744065132916
99,"CCNCCCNCC
",10.381158388284
100,"
",
